X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
8.98,1.92,5.53,1153,1298,119,0,1404,-9.1,-0.47,3.8,951,1269,1675,1083,448,CAR
9.34,1.84,4.9,1153,1280,127,0,1403,-8.87,-0.12,2.59,944,1266,1664,1075,445,CAR
8.87,2.04,4.12,1149,1301,114,0,1406,-9.22,-0.78,2.04,951,1238,1651,1078,445,CAR
8.98,1.73,3.57,1182,1302,112,0,1405,-9.53,-0.82,1.14,958,1209,1635,1069,446,CAR
8.47,1.84,3.45,1172,1296,101,0,1404,-8.71,-0.08,0.39,965,1181,1639,1066,447,CAR
9.3,2.51,3.3,1178,1298,103,0,1392,-9.53,0.67,0.43,949,1167,1628,1055,449,CAR
10.51,2.71,3.22,1155,1279,113,0,1387,-12.24,0.9,0.75,944,1150,1646,1061,443,CAR
9.06,1.49,2.67,1161,1299,108,0,1398,-10.16,1.57,1.92,947,1155,1641,1055,448,CAR
10.59,0.24,1.53,1172,1279,96,0,1392,-9.3,1.18,3.73,942,1152,1641,1049,449,CAR
12.51,0.51,1.26,1165,1274,110,0,1387,-7.88,1.14,4.47,959,1165,1643,1067,448,CAR
13.93,1.88,3.18,1148,1280,112,0,1394,-5.26,1.33,4.75,965,1159,1637,1072,444,CAR
12.91,2.98,3.26,1153,1292,111,0,1382,-4.63,1.26,3.41,951,1157,1634,1071,447,CAR
9.65,2.43,2.82,1158,1303,114,0,1385,-8,0.94,2.28,951,1168,1629,1063,447,CAR
7.06,2.35,2.86,1179,1305,110,0,1383,-10.4,1.29,0.55,944,1166,1637,1066,449,CAR
5.53,2.55,3.61,1157,1295,109,0,1394,-11.06,0.86,-0.75,961,1168,1641,1072,449,CAR
5.02,2.75,4.24,1168,1283,112,0,1383,-11.69,1.1,-1.92,944,1168,1636,1062,452,CAR
8.36,3.1,3.77,1157,1283,109,0,1381,-12.63,-0.08,-0.86,944,1165,1633,1072,454,CAR
10.47,2.67,1.92,1154,1275,109,0,1402,-11.22,0.39,-0.43,944,1155,1648,1058,455,CAR
11.34,2.31,1.06,1163,1279,110,0,1374,-9.89,0.98,0.98,944,1169,1648,1085,448,CAR
12.79,2.39,0.98,1153,1297,112,0,1385,-7.85,0.55,2.67,953,1159,1634,1072,450,CAR
13.96,1.84,1.57,1157,1280,110,0,1392,-6.12,0.94,3.84,949,1168,1646,1058,448,CAR
12.2,2.35,2.08,1175,1271,112,0,1387,-5.69,1.06,3.49,951,1171,1635,1074,448,CAR
10.2,2.67,2.43,1150,1270,112,0,1387,-8.2,0.94,2.71,934,1163,1650,1062,448,CAR
8.51,2.9,2.75,1157,1296,107,0,1396,-9.73,0.9,1.41,944,1170,1635,1063,447,CAR
7.02,3.18,3.41,1168,1275,109,0,1375,-10.08,0.67,0.31,960,1163,1625,1069,450,CAR
