X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
8.98,0.27,10.55,1168,1287,130,1386,-6.39,-2.28,10.71,1005,1330,1699,1098,385,DARK
8.63,0.35,9.89,1163,1289,131,1379,-6.67,-1.37,10.55,1014,1339,1685,1089,582,DARK
8.55,2.51,8.51,1163,1285,125,1377,-6.75,-0.04,10.79,1008,1338,1696,1082,657,DARK
7.65,4.35,7.45,1155,1294,127,1392,-7.26,1.14,9.53,1011,1334,1681,1085,717,DARK
5.22,5.96,5.73,1168,1297,128,1392,-6.55,2.43,9.02,1011,1338,1698,1094,944,DARK
4.86,7.26,4.12,1168,1285,128,1387,-5.14,3.69,8.43,1017,1328,1686,1099,945,DARK
3.3,7.57,3.06,1163,1307,128,1376,-3.18,4.59,7.73,1007,1338,1681,1086,827,DARK
2.43,7.85,2.55,1184,1301,129,1377,-1.57,4.47,8.2,1008,1333,1690,1088,751,DARK
1.22,7.53,3.96,1180,1302,128,1373,-0.08,4.31,8.79,1002,1330,1694,1103,694,DARK
0.31,6.32,5.22,1168,1312,133,1385,0.86,3.96,9.53,1008,1341,1669,1074,433,DARK
-2.2,4.94,6.39,1151,1288,130,1377,2.2,3.53,9.57,991,1326,1693,1072,441,DARK
-1.57,3.96,7.53,1168,1309,131,1378,2.98,2.47,9.77,1008,1343,1691,1087,592,DARK
-3.92,3.73,9.22,1139,1303,128,1380,4.75,2.51,9.89,1039,1330,1686,1090,720,DARK
-1.84,3.49,9.38,1178,1282,128,1390,2.04,2,11.45,1008,1333,1700,1095,765,DARK
-1.65,2.39,9.34,1167,1306,132,1387,2.28,1.53,11.14,1012,1367,1693,1085,701,DARK
-1.41,1.37,10.28,1162,1287,122,1392,2.2,0.9,11.92,1017,1341,1701,1089,695,DARK
-1.65,1.84,11.14,1168,1296,127,1380,3.14,1.14,12.04,1002,1333,1682,1100,690,DARK
0.04,2,11.89,1179,1284,129,1382,3.18,0.75,12.63,1010,1329,1695,1094,698,DARK
-1.22,1.61,11.85,1169,1309,128,1381,2.35,0.71,12.2,1014,1348,1685,1088,679,DARK
-0.16,1.14,10.83,1168,1281,128,1377,1.37,0.82,11.96,1011,1328,1706,1099,688,DARK
-0.31,1.1,10.59,1167,1301,133,1376,1.61,1.29,11.41,1018,1343,1755,1095,693,DARK
