configsip: 0, SPIWP:0xee,3,1067,433,TEACHER,,,,,,,,,,,,
clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00,3,1067,433,TEACHER,,,,,,,,
mode:DIO, clock div:1,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x3fff0030,len:4888,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x40078000,len:16456,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x40080400,len:4,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x40080404,len:3476,3,1067,433,TEACHER,,,,,,,,,,,,
X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label,3,1067,433,TEACHER,,,,,
5.22,4.08,2.04,1162,1279,95,0,1379,TEACHER,-3.33,2.12,2.39,1015,1351,1586,1072,435,TEACHER
20.04,4.16,9.14,1153,1291,97,0,1387,TEACHER,-15.3,0.31,3.06,1008,1335,1575,1067,437,TEACHER
7.96,3.61,4.12,1168,1298,98,0,1380,TEACHER,-10.28,1.84,2.47,1017,1349,1583,1072,436,TEACHER
8.2,4.31,4.63,1178,1296,94,0,1382,TEACHER,-5.96,1.53,2.71,1011,1346,1584,1072,434,TEACHER
8.87,2.94,4.82,1157,1285,98,0,1380,TEACHER,-6.83,0.08,6.43,997,1357,1590,1072,441,TEACHER
7.57,2.43,5.3,1163,1281,100,0,1380,TEACHER,-8.71,0.08,6.75,961,1347,1613,1083,442,TEACHER
5.96,2.51,4.28,1184,1289,113,0,1383,TEACHER,-6.59,0.2,7.65,986,1359,1630,1081,438,TEACHER
5.18,2.86,4.71,1170,1298,115,0,1377,TEACHER,-6.08,-1.61,9.34,989,1360,1662,1097,439,TEACHER
7.85,2.24,7.41,1169,1283,113,0,1375,TEACHER,-6.08,-3.33,10.24,988,1367,1667,1095,434,TEACHER
7.1,0.31,10.16,1165,1286,116,0,1387,TEACHER,-3.3,-2.55,10.24,983,1360,1669,1088,437,TEACHER
4.94,-1.06,10.87,1158,1279,118,0,1379,TEACHER,-3.61,-4.9,8.2,977,1360,1667,1108,436,TEACHER
6.12,-3.57,19.77,1155,1281,119,0,1395,TEACHER,-2.12,-4.59,9.49,980,1360,1666,1089,438,TEACHER
