X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
7.26,-1.33,8.79,1154,1281,123,1376,-4.75,-4.67,8.71,977,1337,1710,1095,831,SWEET
5.18,-1.29,10.28,1169,1301,128,1391,-4.71,-4.67,8.71,979,1346,1706,1104,866,SWEET
4.39,-2.55,10.87,1171,1281,126,1377,-4.75,-4.71,8.75,977,1338,1707,1094,1104,SWEET
3.61,-2.9,11.14,1159,1303,128,1371,-4.79,-4.63,8.79,988,1341,1697,1103,998,SWEET
2.43,-2.04,12.04,1162,1276,117,1375,-4.75,-4.67,8.79,980,1328,1712,1111,809,SWEET
4.71,-2.28,9.92,1157,1290,126,1398,-4.63,-4.63,8.87,981,1344,1712,1096,749,SWEET
3.57,-2.51,9.77,1149,1278,121,1380,-4.63,-4.71,8.79,961,1328,1711,1103,611,SWEET
4.82,-2.2,10.36,1153,1293,126,1381,-4.82,-4.67,8.83,973,1331,1705,1097,509,SWEET
3.84,-2.51,9.77,1152,1283,123,1389,-4.9,-4.59,8.75,973,1342,1733,1109,667,SWEET
4.08,-2.43,9.81,1154,1285,125,1401,-4.71,-4.67,8.75,966,1345,1709,1097,811,SWEET
4.12,-2.47,9.73,1152,1279,128,1374,-4.71,-4.63,8.75,976,1341,1712,1089,857,SWEET
4.2,-2.47,9.85,1151,1296,123,1401,-4.86,-4.63,8.63,981,1335,1706,1103,1013,SWEET
7.61,-4.55,12.75,1161,1284,126,1392,-4.71,-4.67,8.71,976,1341,1709,1104,1073,SWEET
5.49,0.82,13.06,1152,1280,124,1399,-4.75,-4.67,8.63,970,1339,1707,1095,879,SWEET
5.1,1.14,10.83,1153,1279,121,1369,-4.71,-4.75,8.79,974,1339,1696,1105,777,SWEET
6.43,1.69,7.69,1160,1276,128,1385,-4.71,-4.51,8.79,976,1348,1721,1100,729,SWEET
7.49,2.47,4.79,1172,1281,123,1376,-4.82,-4.71,8.71,971,1340,1702,1089,478,SWEET
7.18,3.88,4.12,1152,1281,127,1373,-4.71,-4.79,8.71,1008,1339,1711,1092,546,SWEET
6.67,4.79,3.73,1175,1299,126,1378,-4.9,-4.59,8.71,971,1335,1702,1101,762,SWEET
7.45,5.33,2.55,1154,1283,124,1375,-4.9,-4.59,8.75,971,1327,1702,1104,832,SWEET
6.94,5.61,2.94,1162,1281,121,1399,-4.71,-4.67,8.79,958,1346,1706,1095,866,SWEET
7.88,5.84,2.28,1154,1279,128,1372,-4.71,-4.63,8.79,976,1328,1709,1105,1105,SWEET
7.73,6.24,1.84,1173,1286,128,1375,-4.86,-4.71,8.63,974,1354,1707,1085,1009,SWEET
7.77,5.65,2.51,1157,1283,128,1372,-4.82,-4.51,8.83,965,1340,1712,1111,814,SWEET
7.61,6.59,1.57,1163,1301,128,1377,-4.9,-4.79,8.63,1008,1328,1700,1101,747,SWEET
7.26,6.75,1.57,1137,1298,126,1387,-4.71,-4.55,8.87,975,1341,1685,1099,618,SWEET
7.85,6.24,2.94,1122,1287,126,1399,-4.94,-4.63,8.55,966,1331,1701,1110,496,SWEET
7.34,6.24,3.06,1149,1278,118,1381,-5.02,-4.67,8.71,982,1331,1702,1102,656,SWEET
8.16,6.39,3.61,1159,1296,128,1366,-4.67,-4.71,8.75,967,1328,1707,1094,811,SWEET
6.94,5.65,3.37,1162,1280,129,1391,-4.59,-4.67,8.75,979,1344,1705,1108,863,SWEET
7.37,5.69,4.2,1164,1297,129,1393,-4.79,-4.67,8.71,979,1339,1703,1102,1038,SWEET
7.65,5.61,4.31,1172,1274,131,1390,-4.86,-4.55,8.75,973,1345,1711,1101,1088,SWEET
7.53,5.3,4.47,1154,1283,128,1374,-4.75,-4.59,8.71,976,1337,1714,1104,882,SWEET
7.61,5.1,3.8,1155,1298,125,1369,-4.79,-4.67,8.79,971,1338,1707,1107,773,SWEET
6.98,4.71,4.43,1153,1287,129,1370,-4.86,-4.71,8.71,973,1339,1707,1104,735,SWEET
8.79,3.22,3.73,1158,1280,126,1375,-4.86,-4.67,8.71,976,1330,1697,1098,479,SWEET
9.96,2.47,3.18,1153,1283,128,1393,-4.79,-4.59,8.79,972,1333,1712,1104,546,SWEET
7.69,1.53,4.79,1166,1273,123,1389,-4.71,-4.63,8.71,971,1339,1697,1104,765,SWEET
7.85,0.75,6.12,1152,1279,121,1402,-4.79,-4.67,8.63,979,1340,1710,1113,834,SWEET
7.65,-0.39,8.16,1155,1278,125,1373,-4.82,-4.63,8.75,978,1333,1719,1106,870,SWEET
7.49,0,9.26,1152,1280,126,1372,-4.71,-4.67,8.75,981,1337,1704,1115,1111,SWEET
4.71,-1.57,9.85,1168,1297,125,1391,-4.63,-4.75,8.71,964,1343,1722,1107,1002,SWEET
3.61,-2.35,10.12,1154,1274,122,1377,-4.9,-4.67,8.71,970,1341,1709,1103,816,SWEET
3.69,-2.94,10.59,1170,1281,122,1387,-4.9,-4.63,8.71,975,1338,1710,1103,750,SWEET
2.43,-2.08,11.57,1169,1286,123,1376,-4.75,-4.71,8.67,972,1328,1693,1100,615,SWEET
2.63,-2.35,10.28,1157,1280,128,1382,-4.79,-4.71,8.79,973,1343,1702,1095,510,SWEET
2.71,-2.86,10.24,1156,1289,128,1371,-4.82,-4.63,8.75,969,1327,1694,1119,659,SWEET
2.79,-2.47,10.32,1151,1277,122,1376,-4.75,-4.67,8.75,971,1354,1707,1104,816,SWEET
2.82,-2.51,10.2,1187,1281,125,1371,-4.79,-4.67,8.75,965,1333,1691,1099,861,SWEET
2.86,-2.59,10.2,1157,1296,125,1377,-4.75,-4.67,8.79,976,1327,1698,1077,1021,SWEET
2.82,-2.55,10.16,1152,1296,128,1373,-4.71,-4.63,8.79,983,1339,1699,1094,1078,SWEET
2.86,-2.55,10.16,1157,1296,126,1377,-4.82,-4.67,8.79,962,1338,1702,1099,876,SWEET
2.75,-2.67,10.12,1183,1291,124,1377,-4.75,-4.67,8.75,971,1329,1686,1104,775,SWEET
2.79,-2.59,10.12,1167,1298,128,1379,-4.75,-4.67,8.75,976,1344,1702,1104,735,SWEET
2.98,-2.59,10.2,1168,1294,127,1376,-4.82,-4.71,8.71,973,1334,1717,1093,484,SWEET
2.9,-2.67,10.24,1150,1280,134,1385,-4.75,-4.59,8.75,970,1343,1702,1096,560,SWEET
3.41,-2.35,10.75,1162,1280,125,1375,-4.79,-4.67,8.71,971,1331,1708,1102,770,SWEET
2.79,-2.75,11.49,1154,1289,128,1377,-4.79,-4.59,8.71,976,1330,1701,1092,832,SWEET
3.26,-2.28,12.51,1152,1296,127,1389,-4.79,-4.63,8.67,970,1333,1701,1104,869,SWEET
4.82,-1.57,11.81,1152,1282,129,1375,-4.86,-4.63,8.83,971,1350,1707,1094,1109,SWEET
6.2,-1.18,9.92,1161,1287,126,1374,-4.75,-4.71,8.75,976,1343,1693,1103,1002,SWEET
7.18,0.2,6.9,1161,1302,119,1375,-4.63,-4.75,8.79,970,1344,1696,1105,814,SWEET
6.98,2.31,4,1152,1285,126,1370,-4.71,-4.63,8.71,976,1338,1701,1104,750,SWEET
9.02,3.1,1.92,1152,1280,128,1380,-4.71,-4.67,8.75,977,1341,1707,1095,605,SWEET
6.9,5.06,2.55,1152,1277,128,1378,-4.79,-4.63,8.79,972,1335,1709,1101,496,SWEET
7.69,5.18,2.12,1155,1275,115,1381,-4.79,-4.63,8.71,973,1341,1695,1109,665,SWEET
7.49,5.57,1.73,1153,1271,124,1395,-4.71,-4.67,8.71,973,1337,1705,1109,815,SWEET
8.24,6.12,1.37,1165,1269,123,1397,-4.79,-4.67,8.75,964,1329,1703,1086,861,SWEET
7.18,5.61,1.77,1175,1278,124,1375,-4.79,-4.67,8.71,979,1328,1699,1088,1023,SWEET
7.53,5.84,1.41,1152,1287,112,1375,-4.75,-4.67,8.75,977,1341,1707,1093,1085,SWEET
7.14,6.2,1.33,1154,1296,128,1371,-4.86,-4.71,8.79,977,1338,1703,1110,881,SWEET
8.36,6.47,1.8,1155,1281,123,1375,-4.71,-4.71,8.79,959,1328,1695,1103,775,SWEET
7.96,6,2.35,1175,1282,128,1379,-4.79,-4.71,8.71,973,1337,1711,1095,731,SWEET
8.55,6.04,2.9,1152,1284,127,1373,-4.79,-4.63,8.75,969,1342,1692,1103,495,SWEET
7.53,5.84,3.49,1161,1313,128,1381,-4.75,-4.67,8.79,967,1333,1711,1113,541,SWEET
7.69,5.81,3.33,1155,1280,124,1401,-4.79,-4.67,8.79,978,1328,1698,1104,752,SWEET
7.37,4.98,3.88,1153,1277,127,1377,-4.71,-4.71,8.71,976,1333,1716,1085,831,SWEET
7.65,5.14,2.51,1168,1302,130,1372,-4.71,-4.67,8.67,971,1338,1712,1104,865,SWEET
7.26,4.82,2.71,1155,1286,130,1375,-4.82,-4.71,8.67,995,1339,1703,1093,1111,SWEET
8.36,3.57,3.8,1173,1297,128,1376,-4.98,-4.59,8.67,983,1335,1698,1102,1023,SWEET
8.55,3.02,5.14,1154,1273,124,1377,-4.71,-4.51,8.83,971,1330,1706,1091,825,SWEET
9.41,1.69,5.61,1156,1282,138,1396,-4.67,-4.79,8.32,965,1330,1701,1138,750,SWEET
7.85,1.41,7.18,1158,1280,123,1395,-4.9,-4.28,8.87,983,1335,1708,1095,655,SWEET
8.32,0.63,8.47,1146,1280,131,1397,-4.63,-4.9,8.67,977,1334,1696,1104,480,SWEET
5.02,-0.31,8.98,1185,1264,121,1375,-4.94,-4.28,8.79,985,1317,1691,1117,608,SWEET
4.08,-1.33,10.71,1175,1286,128,1370,-4.55,-4.82,8.75,967,1338,1712,1111,795,SWEET
3.37,-1.29,10.87,1153,1280,122,1386,-4.94,-4.75,8.39,963,1334,1713,1115,848,SWEET
2.35,-1.96,11.38,1168,1289,126,1378,-4.86,-4.55,8.79,969,1340,1714,1098,1003,SWEET
1.22,-2.24,10.59,1152,1287,126,1396,-4.63,-4.79,8.55,963,1334,1703,1074,1089,SWEET
3.77,-2.47,10.4,1172,1296,136,1375,-5.02,-4.31,8.79,978,1330,1700,1108,944,SWEET
3.14,-2.71,10.24,1146,1303,112,1379,-4.67,-4.82,8.87,977,1328,1675,1105,789,SWEET
3.22,-2.55,10,1182,1276,126,1375,-4.79,-4.67,8.63,971,1337,1709,1106,745,SWEET
2.86,-2.63,10.04,1177,1306,129,1372,-4.94,-4.55,8.67,971,1331,1690,1095,575,SWEET
3.57,-2.47,10.12,1163,1296,129,1375,-5.02,-4.82,8.59,981,1320,1715,1086,511,SWEET
3.22,-2.51,10,1160,1281,125,1402,-4.86,-4.43,8.75,960,1345,1713,1093,720,SWEET
3.8,-2.59,9.96,1157,1295,125,1362,-4.86,-4.82,8.55,973,1340,1701,1106,816,SWEET
3.45,-2.51,9.92,1158,1284,123,1379,-4.86,-4.43,8.75,974,1339,1694,1103,861,SWEET
3.96,-2.28,10.24,1165,1284,125,1399,-5.02,-4.55,8.63,976,1339,1702,1099,1036,SWEET
3.69,-2.94,10.98,1181,1295,117,1373,-4.71,-4.94,8.59,962,1344,1701,1088,1067,SWEET
4.63,-3.02,12.28,1167,1287,125,1402,-4.71,-4.82,8.55,981,1339,1701,1102,866,SWEET
5.57,-1.88,11.06,1173,1282,125,1386,-4.86,-4.94,8.47,960,1338,1705,1098,772,SWEET
7.02,-0.59,8.59,1157,1282,126,1379,-4.71,-4.63,8.83,976,1344,1701,1095,732,SWEET
8.16,0.75,5.96,1159,1290,145,1378,-4.55,-4.79,8.71,967,1337,1694,1103,474,SWEET
8.63,2.67,3.77,1162,1301,129,1379,-4.79,-4.75,8.67,976,1349,1699,1094,531,SWEET
8.83,3.84,1.88,1157,1280,123,1391,-5.22,-4.79,8.55,971,1340,1697,1095,748,SWEET
7.1,4.35,1.73,1168,1303,126,1393,-4.55,-4.75,8.9,966,1334,1698,1097,822,SWEET
6.86,5.14,1.1,1164,1285,118,1375,-5.33,-4.55,8.28,973,1337,1712,1104,859,SWEET
6.94,5.41,0.98,1153,1276,123,1392,-4.9,-4.67,8.83,979,1344,1697,1104,1105,SWEET
7.69,5.73,0.78,1175,1320,128,1375,-4.71,-4.82,8.94,983,1349,1703,1098,1051,SWEET
8.59,6.08,0.24,1184,1287,128,1403,-4.79,-4.51,8.63,976,1332,1693,1105,829,SWEET
7.18,6.59,0.63,1158,1278,129,1379,-4.67,-5.02,8.63,965,1333,1695,1099,762,SWEET
8.47,6.51,2.04,1158,1287,118,1382,-4.94,-4.31,8.83,967,1330,1703,1104,731,SWEET
7.57,7.02,0.31,1157,1280,128,1379,-4.94,-4.82,8.55,960,1325,1696,1109,495,SWEET
8.08,7.3,1.14,1159,1264,123,1395,-4.79,-4.71,8.67,960,1349,1707,1094,581,SWEET
7.81,6.55,2.08,1166,1275,130,1383,-4.75,-4.75,8.79,973,1345,1703,1102,783,SWEET
7.45,6.47,1.96,1166,1272,122,1385,-4.82,-4.67,8.75,961,1341,1706,1104,848,SWEET
8.04,6.43,2.08,1157,1278,121,1377,-4.82,-4.71,8.55,965,1333,1698,1099,932,SWEET
8.43,6.16,2.59,1152,1311,124,1405,-4.98,-4.43,8.67,964,1338,1705,1101,1099,SWEET
7.69,6.35,2.39,1158,1283,129,1383,-4.9,-4.71,8.47,974,1327,1693,1106,999,SWEET
8.28,5.69,2.47,1154,1282,119,1376,-4.86,-4.71,8.67,961,1345,1701,1105,806,SWEET
7.26,4.9,3.33,1169,1293,126,1376,-4.82,-4.63,8.75,971,1330,1701,1104,752,SWEET
8,4.67,2.43,1166,1282,126,1395,-4.82,-4.59,8.63,960,1342,1710,1102,612,SWEET
10,3.96,2.08,1162,1295,126,1392,-5.02,-4.71,8.51,969,1325,1699,1089,494,SWEET
8.71,3.77,3.49,1159,1290,144,1382,-4.98,-4.63,8.63,962,1333,1703,1104,640,SWEET
8.2,2.59,4.71,1157,1279,123,1398,-4.98,-4.75,8.67,965,1340,1701,1097,801,SWEET
7.92,1.1,6.39,1156,1301,129,1386,-4.98,-4.75,8.55,960,1343,1709,1104,851,SWEET
8.2,-1.14,8.51,1150,1259,126,1375,-4.86,-4.59,8.75,963,1335,1697,1099,1015,SWEET
5.14,-1.69,10.4,1156,1294,127,1391,-4.71,-4.67,8.63,963,1342,1712,1110,1094,SWEET
4.67,-2.55,10.63,1155,1271,127,1369,-4.71,-4.67,8.67,960,1338,1713,1101,927,SWEET
3.61,-1.8,10.32,1155,1281,135,1375,-5.02,-4.63,8.63,961,1339,1703,1098,786,SWEET
3.1,-2.47,10.71,1159,1277,128,1375,-4.75,-4.71,8.67,967,1339,1701,1095,736,SWEET
2.55,-2.35,10.32,1155,1293,128,1379,-4.86,-4.67,8.67,963,1339,1706,1101,577,SWEET
1.92,-2.63,10.79,1145,1280,123,1382,-4.82,-4.75,8.79,960,1335,1707,1094,509,SWEET
4.79,-1.92,10.36,1175,1280,123,1371,-4.79,-4.71,8.67,969,1335,1714,1102,713,SWEET
4.86,-2.82,9.89,1172,1293,126,1383,-4.82,-4.82,8.67,962,1329,1698,1095,815,SWEET
4.28,-2.43,9.81,1182,1291,145,1373,-4.67,-4.79,8.67,955,1335,1697,1104,859,SWEET
4.47,-2.47,9.77,1169,1296,126,1375,-4.82,-4.67,8.79,973,1341,1714,1095,1006,SWEET
4.35,-2.55,9.77,1168,1280,119,1387,-4.86,-4.71,8.71,969,1339,1707,1104,1072,SWEET
4.31,-2.51,9.69,1170,1280,81,1392,-4.79,-4.75,8.67,961,1342,1710,1094,879,SWEET
4.51,-2.51,9.81,1175,1284,124,1373,-4.79,-4.75,8.63,943,1343,1710,1102,781,SWEET
4.47,-2.47,9.73,1155,1283,128,1374,-4.79,-4.63,8.67,956,1339,1715,1105,734,SWEET
4.31,-2.47,9.81,1166,1307,113,1395,-4.71,-4.71,8.67,963,1327,1703,1096,559,SWEET
4.43,-2.55,9.69,1168,1291,129,1373,-4.9,-4.63,8.71,961,1337,1702,1098,539,SWEET
4.08,-2.51,10.12,1154,1277,125,1377,-4.79,-4.75,8.67,959,1341,1712,1104,733,SWEET
5.84,-2.9,11.57,1157,1285,125,1373,-4.67,-4.71,8.71,975,1322,1714,1104,817,SWEET
8.16,-0.94,12,1162,1294,123,1374,-5.1,-4.63,8.55,972,1328,1697,1085,857,SWEET
8.36,-0.9,8.59,1179,1282,128,1378,-4.82,-4.67,8.75,960,1351,1712,1083,1087,SWEET
7.96,-0.04,5.61,1157,1301,122,1382,-4.63,-4.79,8.75,950,1329,1707,1107,1059,SWEET
9.18,1.65,2.79,1186,1301,128,1398,-4.79,-4.75,8.71,970,1333,1698,1104,859,SWEET
8.32,3.26,2.12,1161,1286,124,1393,-4.82,-4.75,8.71,961,1335,1710,1105,771,SWEET
7.34,4.71,1.88,1155,1277,128,1378,-4.86,-4.59,8.67,963,1339,1711,1099,733,SWEET
7.22,5.37,1.65,1196,1281,127,1373,-4.79,-4.75,8.71,973,1328,1695,1138,493,SWEET
7.77,5.73,1.1,1157,1283,122,1390,-4.67,-4.71,8.71,976,1346,1695,1104,546,SWEET
7.96,5.84,0.47,1166,1271,133,1378,-4.82,-4.75,8.67,967,1335,1695,1094,751,SWEET
